,User,Date Created,Number of Likes,Source of Tweet,Tweet
3026,naija_nemesis,2022-12-23 08:14:03+00:00,0,Twitter for Android,"@Nizzy_dee @imd1973 @anewname758 @GRVlagos @GRVlagos2023 No body can take over your community, that's impossible...but we will pay taxes and assist in development, so it better you embrace us for the betterment of Lagos...for me as example I pay more taxes,rent and purchases from Yoruba traders on a day to day basis which is a plus"
3027,ForeignWL,2022-12-23 08:13:51+00:00,0,Twitter for Android,"@GRVlagos Just imagine for a sec .. The fuuish tinubu got Nigeria , he will claim it , like he claiming to own Lagos! He will control Nigeria n Lagos .. No that imagination alone is too bad .. This current new set of APC is too bad to be in aso rock. God Abeg! Never I can't imagine at a!!"
3028,fakeyeahmed,2022-12-23 08:13:43+00:00,1,Twitter for iPhone,"@Chiditidy1 @Nizzy_dee @Emydimking @GRVlagos @GRVlagos2023 Abiola is his other name not his surname. You could see that Abiola is added to his name. What is his surname? Rotimi Amaechi, is he Yoruba? Chinasa 

The fact you wish he was a Yoruba man is a welcome development. We are getting there."
3029,Aladay7,2022-12-23 08:13:10+00:00,0,Twitter for Android,@badmus_demola @GRVlagos The Red line started last year and is also about to be completed too. Sanwoolu is doing that in record time.
3030,JohnLaw01107528,2022-12-23 08:13:09+00:00,0,Twitter for Android,"@wandeo @DibuaPeter @Ifejiro1 @GRVlagos Just answer my question then i will show how low you have gone. And mind you that you said the world,so am going to show you one from a country and in a state that if Nigeria was really working we are supposed to be better than them."
3031,ensurewords,2022-12-23 08:12:49+00:00,0,Twitter for Android,"@1776_yori @GRVlagos Well PDP and APC are both corrupt, that is why we the victims of their rule want to flush them out. Grv is a new breed that will lead a new Lagos. What experience did tinubu have in public office b4 he was governor? None"
3032,BeerofCrate,2022-12-23 08:12:16+00:00,0,Twitter for Android,"@Nizzy_dee @damian_ani @Emydimking @GRVlagos @GRVlagos2023 Owo ara yín lè fi ma shey ara yín, e ma worry. I will still repeat what that guy said, this Obidient movement is an ethnic one with a deceptive make up of liberation. Hope u remember what there PCC looks like when they first release it, Igbo was to head Lagos and some north."
3033,hasbol01,2022-12-23 08:11:55+00:00,0,Twitter Web App,"@GRVlagos Should we also discuss the cost? Naa, we don't wanna go there."
3034,ForeignWL,2022-12-23 08:11:34+00:00,6,Twitter for Android,@GRVlagos My incoming gov ... In Lagos sawo-olu is going out of alawusa for you sir.. He tried but only when he wants a favour from lagosians !!  Be is an errand boy of his principal tinubu who wants to finish Lagos n Nigeria the two most strong city's  dey want to share it .. https://t.co/UZ5I5tvkeE
3035,DibuaPeter,2022-12-23 08:11:18+00:00,0,Twitter for Android,"@wandeo @JohnLaw01107528 @Ifejiro1 @GRVlagos Guy you are high
Go and sleep
It will calm down"
3036,donkaycee3,2022-12-23 08:11:15+00:00,1,Twitter for Android,"@ifeomadurugbor @Nizzy_dee @anewname758 @GRVlagos @GRVlagos2023 Pls help us with the Yoruba name,  we want to  learn something,  it is not enough to make blanket noise without fact. We are waiting... ......."
3037,josh__tntl,2022-12-23 08:10:52+00:00,0,Twitter for Android,"@ensurewords @Ramsak123 @GRVlagos Sanwoolu is already 10 miles ahead and already showing his workings. 

Why will a man with no previous capabilities handle Lagos? Dead this your talk.
Why are we against the likes of Sowore running fr president? No background!"
3038,naija_nemesis,2022-12-23 08:10:21+00:00,0,Twitter for Android,"@Nizzy_dee @imd1973 @anewname758 @GRVlagos @GRVlagos2023 But we cannot surrender to them,we can't accept tribalism,we have to continue to resist until Nigeria changes&amp;becomes a better nation for us ALL,listen to Fashola below he explains if all,APC has failed so they use tribalism to hide that failure to prevent us from voting them out"
3039,its_mmeeeee,2022-12-23 08:09:51+00:00,0,Twitter for iPhone,@KazeemA70699797 @drealjustndi @GRVlagos Lol and Nigeria is very wealthy right??
3040,PromiseSlim,2022-12-23 08:08:31+00:00,0,Twitter for Android,"@GRVlagos The media was the first to celebrate them just to avoid being tagged  ""biased"".

We cannot continue like this!"
3041,EemmanuelMadu,2022-12-23 08:07:37+00:00,0,Twitter for Android,Smart and intelligent young incoming governor @GRVlagos @Gidi_Traffic https://t.co/gENFvo4hj4
3042,wandeo,2022-12-23 08:07:27+00:00,0,Twitter Web App,@JohnLaw01107528 @DibuaPeter @Ifejiro1 @GRVlagos Which kind of useless questions are these? Show me picture of any Rail line in Anambra. Thats all. With a picture of any Governor. Past or present. Obi failed to lay the good foundation for his successors!!
3043,iammakavellid,2022-12-23 08:07:04+00:00,0,Twitter for iPhone,"@macbite89 @Roodie77 @GRVlagos Just say your area only, it is very visible everywhere stop coming here and spreading falsehood"
3044,syle_jude,2022-12-23 08:06:54+00:00,0,Twitter Web App,"@abisal21512 @GRVlagos lagos abuja was built with money from our oiI, and all our work… when you signed up for one nigeria, lagos became for all of us…

one that buys a loaf of bread for millions deserves no praise, same with politicians that spend billions on things that cost millions"
3045,JohnLaw01107528,2022-12-23 08:06:51+00:00,0,Twitter for Android,@wandeo @DibuaPeter @Ifejiro1 @GRVlagos Type*
