,User,Date Created,Number of Likes,Source of Tweet,Tweet
41,warriclanhq,2023-01-01 21:28:15+00:00,0,Twitter for iPhone,"The Performing Governor of Lagos State, Mr @jidesanwoolu will be on Your View program on TVC, tomorrow January 2nd 2023 by 9:30am …. Kindly TUNE IN 

DSTV Channel: 418 

STARTIMES: CH 121 

#ForAGreaterLagos https://t.co/izVPS68Jqi"
42,LagosGistNG,2023-01-01 21:27:25+00:00,3,Twitter for Android,"Join Governor @jidesanwoolu tomorrow on TVC!
#sanwolekansi #SanwoAgain https://t.co/vLn6IuyquK"
43,UthmanOlaide,2023-01-01 21:27:16+00:00,11,Twitter for Android,"Governor of Lagos State, Mr @jidesanwoolu will be on Your View program on TVC, tomorrow January 2nd 2023 by 9:30am. 

Kindly TUNE IN.
DSTV Channel: 418.
STARTIMES: CH 121.
#ForAGreaterLagos https://t.co/pL1gDcelpi"
44,storacares25,2023-01-01 21:26:26+00:00,1,Twitter for Android,"#Batified
#RoadToAsorock
#OnYourMandateBAT
#RenewedHope2023 
#AGreaterLagosRising
#Bugawón #BoboMilwaulkee
@officialABAT @jidesanwoolu @APCchairman https://t.co/0Wxn4g98lQ"
45,RajiDraj,2023-01-01 21:25:12+00:00,5,Twitter for Android,"Governor of Lagos State, Mr @jidesanwoolu will be on Your View program on TVC, tomorrow January 2nd 2023 by 9:30am. Kindly TUNE IN.
DSTV Channel: 418.
STARTIMES: CH 121.
#ForAGreaterLagos https://t.co/mDvqgSNiAl"
46,HeasslerO,2023-01-01 21:25:01+00:00,0,Twitter for Android,@Blackadonis_18 @Adebayoyinkz @jidesanwoolu Is really bad. The people living here have really endure the hardship for too long. Is high time a proactive measure is taking before the raining season start.
47,followlasg,2023-01-01 21:20:19+00:00,48,Twitter for Android,"Watch @jidesanwoolu on TVC 'Your View"" on Monday January 2, 2023
@drobafemihamzat @gbenga_omo @gboyegaakosile 
@TVCconnect @fjaji @Mr_JAGs 
#LASG #ForAGreaterLagos https://t.co/DkNmT5A0Jk"
48,Mr_JAGs,2023-01-01 21:20:18+00:00,102,Twitter for iPhone,"The Performing Governor of Lagos State, Mr @jidesanwoolu will be on Your View program on TVC, tomorrow January 2nd 2023 by 9:30am …. Kindly TUNE IN 

DSTV Channel: 418 

STARTIMES: CH 121 

#ForAGreaterLagos
@moakabash https://t.co/1ws5rpQSQr"
49,tomakinta,2023-01-01 21:13:36+00:00,22,Twitter Web App,"Dedicated to those still doubting..... @officialABAT @OfficialAPCNg  @Sanwoolu_Hamzat @jidesanwoolu  that Jandor is coming in as the 16th Governor of Lagos!

#Vote4Jandor https://t.co/1JWkMYSpT7"
50,gboyegaakosile,2023-01-01 21:13:29+00:00,32,Twitter for iPhone,Join Governor @jidesanwoolu tomorrow on @TVCconnect Your View for a live interview focusing on a closer look at his administration at 9.30am. https://t.co/BuicaGqfTD
51,Leonard50310709,2023-01-01 21:08:36+00:00,0,Twitter for Android,@chude__ @leroikris @followlasg @jidesanwoolu The world is watching!
52,shugaTech,2023-01-01 21:07:34+00:00,0,Twitter for Android,"@jidesanwoolu God bless you sir,
Kindly look into Tech/programming more.
#GreaterLagosRising https://t.co/1rYSxg0vOB"
53,EniEgwu,2023-01-01 21:07:00+00:00,1,Twitter for Android,If OBJ's endorsement of Obi didn't hit them badly they can't be ranting all over place @realFFK @jidesanwoolu @OfficialAPCNg
54,Umar_A_Farouk,2023-01-01 21:05:37+00:00,0,Twitter for Android,@akinwale_cfi @ProfOsinbajo @jidesanwoolu Ameen
55,official_juxkid,2023-01-01 20:59:03+00:00,0,Twitter for Android,@factfactos @furySava @jidesanwoolu As par landlord wen you be 🤣🤣🤣
56,official_juxkid,2023-01-01 20:57:55+00:00,0,Twitter for Android,@factfactos @furySava @jidesanwoolu 🤣🤣🤣 see mumu.
