,User,Date Created,Number of Likes,Source of Tweet,Tweet
58,rebuildinglagos,2023-01-01 10:00:51+00:00,1,Twitter for iPhone,@TINUBUMEDIA23 @officialjandor You mean the Ballabluuu logo for dimwits like you ?? Gbenu oshi sii gutter and think right!
59,AERO4SENATE,2023-01-01 09:59:43+00:00,16,Twitter for iPhone,"@officialjandor We are with you on this, H.E the incoming Governor of Lagos state."
60,orllumeeday,2023-01-01 09:49:49+00:00,2,Twitter for Android,"@officialjandor Lagos will be free from the throes of the Entitled landlords!
#JaFunEko2023"
61,ADEGBOLADANIEL8,2023-01-01 09:44:24+00:00,7,Twitter for Android,"@officialjandor It is time to rescue Lagos State, 
Vote for jandor"
62,Tijaybarry,2023-01-01 09:43:18+00:00,3,Twitter for Android,@officialjandor Jandor is next Governor of Lagos State Insha Allah.
63,hayzedofficial,2023-01-01 09:41:39+00:00,2,Twitter for Android,@officialjandor You'll crawl back into your shell after election. PDP is a dead party in Lagos.
64,Sholakaybee,2023-01-01 09:40:06+00:00,0,Twitter for iPhone,@officialjandor @UnclePamilerin https://t.co/Ljg4qY0XLj
65,TINUBUMEDIA23,2023-01-01 09:29:16+00:00,8,Twitter for Android,"@officialjandor That Logo has gone beyond Lagos. The earlier you know the better. No amount of hatred can erase that progressive logo. If you have God anointing on your head, you won't need much publicity. A leader will always lead by example."
66,TINUBUMEDIA23,2023-01-01 09:24:21+00:00,0,Twitter for Android,@officialjandor 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
67,olawalemak1,2023-01-01 09:23:36+00:00,0,Twitter for iPhone,@officialjandor Lagos is for all not for one man we shall rescue Lagos Jandorfunke23 for Lagos state Governor
68,olawalemak1,2023-01-01 09:20:06+00:00,8,Twitter for iPhone,@officialjandor My Governor your Governor our Governor JANDOR 4 Lagos. It is time
69,officialjandor,2023-01-01 09:12:07+00:00,60,Twitter for iPhone,"This Year 2023, Lagos will break free!!!

- Dr. Abdul-Azeez Olajide Adediran (Jandor)
Lagos State PDP Governoship Candidate.

JAFUN-EKO, Fight for Lagos…"
70,officialjandor,2023-01-01 09:11:57+00:00,55,Twitter for iPhone,"Every resident who has contributed to the growth and development of Lagos is entitled to a decent living from our commonwealth. 

It is time for a breath of fresh air."
71,officialjandor,2023-01-01 09:11:56+00:00,36,Twitter for iPhone,"Lagos is beyond the bragging prize of any single individual who, in addition, is obsessed with being in power in perpetuity."
72,officialjandor,2023-01-01 09:11:55+00:00,33,Twitter for iPhone,"In this brand new year 2023, and with the new electoral act which only allows one man, one vote, alongside electronic transfer of results directly from the polling booth, it is time for Lagos to break free from the continuous and harmful servitude to one man."
73,officialjandor,2023-01-01 09:11:54+00:00,31,Twitter for iPhone,… kings in our villages and towns in Lagos.
74,officialjandor,2023-01-01 09:11:53+00:00,451,Twitter for iPhone,"In the last 24 Years, Lagos has been under the dictatorship of an individual who takes full advantage of our hitherto defective electoral laws; and solely decides the occupants of leadership  positions in the state, from councillors to Governors and even to … https://t.co/Rki7Y7Mc0n"
75,FamoCampaign,2022-12-31 21:09:39+00:00,1,Twitter for Android,"Appreciation from Hon. Dr. Fateema Mohammed Ogunkola of Ifako Ijaiye Federal Constituency. 
Happy New Year.
@atiku @OfficialPDPNig @onyxdynamics @officialjandor https://t.co/gskt84VdFt"
76,Abiodundaniel9,2022-12-31 18:36:54+00:00,0,Twitter for Android,@officialjandor Dreamers.
77,NaheemAbiola,2022-12-31 09:55:40+00:00,1,Twitter for iPhone,"@AkinyoMichael @rebuildinglagos @jidesanwoolu @officialjandor Sorry o, PDP people"
78,Tijaybarry,2022-12-31 07:53:51+00:00,1,Twitter for Android,"@tomakinta @officialjandor @officialABAT @OfficialPDPNig Lagos is one of the best state in Nigeria,we need a change of governance in Lagos, Jandor is ready to rescue us,let use our PVC wisely."
79,Edsaz3,2022-12-31 07:29:44+00:00,0,Twitter for Android,@officialjandor Why it appears to be no serious opposition against APC in Lagos?.PDP seems not to be doing much. Can Lagos afford a continuation of APC govt again?
80,AdekunlegG,2022-12-31 07:15:58+00:00,0,Twitter for iPhone,@thecableng @officialABAT @OfficialAPCNg @OfficialPDPNig @officialjandor Forget Lagos bro you can’t win
81,mainlandfm,2022-12-31 06:42:00+00:00,4,Twitter for iPhone,"“We don’t have Agbero in Lagos, is it still our government that is the Agbero we see in Lagos State”

By our guest ABDUL-AZEEZ OLAJIDE ADEDIRAN @officialjandor @jandorfunke2023_  of the @officialpdpnigeria Gubernatorial Candidate in Lagos State.

Organised by @rethinkingcities https://t.co/5oDUQfHJsg"
82,GadaraMan,2022-12-31 06:27:48+00:00,0,Twitter for Android,@thecableng @officialABAT @OfficialAPCNg @OfficialPDPNig @officialjandor Hmmmm game!
83,LOlagbami,2022-12-31 06:17:08+00:00,1,Twitter for Android,@officialjandor Professor George Obiozor (and not Professor George Obialor) rest in peace
84,Ononaenyi1,2022-12-31 04:02:53+00:00,0,Twitter for iPhone,@VANPDPNg @funkeakindele @officialjandor VGR for Lagos state
85,EhisabheleA,2022-12-31 01:39:32+00:00,1,Twitter for Android,@officialjandor May his soul rest in peace.
86,EhisabheleA,2022-12-31 01:38:30+00:00,1,Twitter for Android,@VANPDPNg @funkeakindele @officialjandor That's why our vote will surely before @officialjandor and @funkeakindele .
87,EhisabheleA,2022-12-31 01:35:41+00:00,1,Twitter for Android,"@Genesisrebirth2 @officialjandor We will vote him , for to vote for @officialjandor is to vote for democracy ."
88,EhisabheleA,2022-12-31 01:33:39+00:00,2,Twitter for Android,@omoluabi1sq This is why we need @officialjandor . with him all this mess will be corrected .
